Conc_Nr;Composer;WorkNr;Modern Ed;Concordances;Comment
Conc_704;;;;CZ-Bm372 / 5 - D-ROu52-2 / 77v;
Conc_705;;;;CZ-Bm372 / 6 - D-ROu52-2 / 78v;
Conc_706;Weichenberger;;;CZ-Bm372 / 9 - A-GÖ1 / 37r - A-KR156 / 2v - US-NYp11 / 11r;
Conc_707;Weichenberger;;;CZ-Bm372 / 10 - A-GÖ1 / 37v - US-NYp11 / 11v;
Conc_708;Weichenberger;;;CZ-Bm372 / 11 - A-GÖ1 / 38r - A-KR156 / 3v - US-NYp11 / 12v;
Conc_709;Weichenberger;;;CZ-Bm372 / 12 - RA-BAn / 101v - A-GÖ1 / 38r (2) - A-KR156 / 4v - US-NYp11 / 13r - D-ROu65-6 / c7 (p.28);
Conc_710;Weichenberger;;;CZ-Bm372 / 12 - A-GÖ1 / 38v - US-NYp11 / 13v;
Conc_711;Weichenberger;;;CZ-Bm372 / 13 - A-GÖ1 / 38v - US-NYp11 / 13v;
Conc_712;;;;CZ-Bm372 / 14 - A-Wn1078 / 3v;
Conc_713;;;;CZ-Bm372 / 15 - A-Wn1078 / 4v;
Conc_714;;;;CZ-Bm372 / 16 - A-Wn1078 / 5v;
Conc_715;;;;CZ-Bm372 / 27 ('Harmonie des Anges...') - A-ROII / 28v ('Les Grâces');
Conc_716;S.L.Weiss;WeissSW 108.2 (Sm 535);;CZ-Bm372 / 28 - CZ-POm / 8 - I-Ven / 497.1 (fragment);
Conc_717;Kühnel;;;CZ-Bm372 / 34 - NL-DHnmi50536 / 63v (Concerto Kühnold) - A-GÖ1 / 54v - A-Wn18829 / 2v;
Conc_718;Kühnel;;;"CZ-Bm372 / 36 (""Courent"") - NL-DHnmi50536 / 65r (""Kühnold""+v+b) - A-GÖ1 / 56r - A-SEI / 25v (24v"") - A-Wn18829 / 5v - PL-WRu / 56";
Conc_719;Kühnel;;;CZ-Bm372 / 37 - NL-DHnmi50536 / 66r - A-GÖ1 / 57v - GB-Lbl1868 / 157 - CZ-POm / 5 - A-Wn18829 / 6v;
Conc_720;;;;CZ-Bm372 / 41 - A-Wn1078 / 6v;
Conc_721;;;;CZ-Bm372 / 42 (1) - A-Wn1078 / 7v;
Conc_722;;;;CZ-Bm372 / 42 (2) - A-Wn1078 / 8v;
Conc_723;S.L.Weiss;WeissSW 44.5 (Sm 304) - App 1.3;;"CZ-Bm372 / 45 - D-Dl2841-3 / 147 (""Sarab:"") - GB-Lbl1868 / 128 (1) - A-ROI / 30r (with violin and bass A-ROI / 26r & A-ROI / 28r) - F-PnThII / 15r - I-Ven / 505.1 - PL-Wu2003 / 16r - PL-WRu / 42 (1)";
Conc_724;S.L.Weiss;WeissSW 44.3 (Sm 302) - App 1.2;;"CZ-Bm372 / 46 (""Courente"") - D-Dl2841-3 / 146 (1, ""Courrante"") - GB-Lbl1868 / 127 (2°) - A-ROI / 29v (with violin and bass A-ROI / 25v & A-ROI / 27v) - F-PnThII / 12v - I-Ven / 504.3 - PL-Wu2003 / 15v - PL-Wu2005 / 122";
Conc_725;S.L.Weiss;WeissSW 44.4 (Sm 303) - App 1.4;;"CZ-Bm372 / 47 (""Bourée"") - D-Dl2841-3 / 146 (2) - GB-Lbl1868 / 25 - GB-Lbl1868 / 128 - A-ROI / 30v (with violin and bass A-ROI / 26r & A-ROI / 28r) - D-KNu / 32r (""Scherzo"") - F-PnThII / 13r - F-Sim / 17v - I-Ven / 505.2 - PL-WRu / 41 - PL-Wu2003 / 15r (2)";
Conc_726;S.L.Weiss;WeissSW 44.6 (Sm 305) - App 1.5;;CZ-Bm372 / 47 - D-Dl2841-3 / 147 (2) - A-ROI / 31r (with violin and bass A-ROI / 26r & A-ROI / 28v) - D-KNu / 32v - F-PnThII / 13r - I-Ven / 504.4 - PL-WRu / 42 - PL-Wu2003 / 15v - PL-Wu2008 / 122 (1) - PL-Wu2009 / 176 (1);
Conc_727;S.L.Weiss;WeissSW 44.7 (Sm 306) - App 1.6;;"CZ-Bm372 / 48 - D-Dl2841-3 / 148 (""Gique"") - GB-Lbl1868 / 129 - A-ROI / 31v (with violin and bass A-ROI / 26v & A-ROI / 28v) - F-PnThII / 13v - I-Ven / 505.3 - PL-WRu / 43 - PL-Wu2003 / 16v - PL-Wu2005 / 123";
Conc_728;Aureus Dix;;Vogl, p. 70;CZ-Bm372 / 49 (1);
Conc_729;Aureus Dix;;Vogl, p. 71 (1°);CZ-Bm372 / 49 (2);
Conc_730;Aureus Dix;;Vogl, p. 71 (2°);CZ-Bm372 / 50 (1);
Conc_731;Aureus Dix;;Vogl, p. 72;CZ-Bm372 / 50 (2);
Conc_732;Aureus Dix;;Vogl, p. 73 (1°);CZ-Bm372 / 51 (1);
Conc_733;Aureus Dix;;Vogl, p. 73 (2°);CZ-Bm372 / 52 (2);
Conc_734;Aureus Dix;;Vogl, p. 74;CZ-Bm372 / 53;
Conc_735;Aureus Dix;;Vogl, p. 75;CZ-Bm372 / 54 (1);
Conc_736;Aureus Dix;;Vogl, p. 76 (1°);CZ-Bm372 / 54 (2);
Conc_737;Aureus Dix;;Vogl, p. 76 (2°);CZ-Bm372 / 55 (1);
Conc_738;Aureus Dix;;Vogl, p. 77 (1°);CZ-Bm372 / 55 (2);
Conc_739;Aureus Dix;;Vogl, p. 77 (2°);CZ-Bm372 / 56;
Conc_740;;;;A-SEI / 37r - CZ-Bu103 / 12v - PL-Wu2008 / 30 (1) - PL-Wu2009 / 33 - PL-Wu2010 / 75 - D-SÜNms58 / 8v;
Conc_741;D.Gaultier;CLFDGa, N°35;;F-PnVm7-370 / 4v - F-Pn6211 / 7v - GaultierLivre / 24 - Perrine1680 / 31;
Conc_742;Du But;CLFDub, N°84;;F-PnVm7-370 / 7r - PL-Lw1985 / 18v - F-Pn6211 / 6v (1) - F-Pn6213 / 7 - D-ROu54 / 93;
Conc_743;Emond;;;A-Wgm7763-92 / 27v - F-PnVm7-370 / 19v - GB-LANh / D5v - F-B279152 / 40 - F-B279153 / 19;
Conc_744;Lully;LWV 53/48;;F-PnVm7-370 / 25r - F-B279152 / 225 (Théorbe);
Conc_745;D.Gaultier;CLFDGa, N°28;;F-PnVm7-370 / 27v - B-Br276 / 25v - GaultierPieces / 78 - F-Pn6212 / 68v - F-Pn6214 / 67v - F-Pn6214 / 80r - CZ-NlobKk84 / 58v;
Conc_746;D.Gaultier;CLFDGa, N°30;;F-PnVm7-370 / 28v - GaultierPieces / 82 - F-Pn6214 / 69v - CZ-NlobKk84 / 60v - Perrine1680 / 62;Cf. Conc_747
Conc_747;D.Gaultier;CLFDGa, N°98;;"Rhetorique / 254 ""La Résolution des amis du Sr Lenclos sur sa mort""";Cf. Conc_746
Conc_748;Du But;CLFDub, N°123;;D-Bsa4060 / 131v - F-PnVm7-370 / 39v - US-CAh174 / 28;
Conc_749;Du But;CLFDub, N°85;;F-PnVm7-370 / 40v;
Conc_750;Emond;;;F-PnVm7-370 / 75v - A-GÖ2 / 27v - CZ-Bm371 / 23 - GB-Ob618 / 102 - GB-LANh / G5v - D-ROu54 / 68 - F-B279152 / 129 - D-Bsa4060 / 240v;
Conc_751;Gaultier;;;F-PnVm7-370 / 183v - A-ETgoëssI / 36v - D-Bsa4060 / 275v - D-RpAN62 / 27v;
Conc_752;Gaultier;;;F-PnVm7-370 / 185v - A-ETgoëssI / 37v;
Conc_753;D.Gaultier;CLFDGa, N°69;;F-PnVm7-370 / 186v - A-ETgoëssI / 32v - A-ETgoëssI / 85v - Rhetorique / 86;
Conc_754;D.Gaultier;CLFDGa, N°67;;F-PnVm7-370 / 188v - A-ETgoëssI / 33v - CZ-NlobKk84 / 80v - Rhetorique / 74 - GB-LnaC108.63 / 1v;
Conc_755;;;;F-PnVm7-370 / 200v - A-ETgoëssI / 97v;
Conc_756;V.Gaultier;CLFVGa, N°15;;B-Bc5616 / 2v - GaultierLivre / 38 - PL-Lw1985 / 74v - GB-Ob618 / 112 - GB-LANh / G6r;Contrepartie: Conc_3824
Conc_757;V.Gaultier;CLFVGa, N°3;;B-Bc5616 / 3v - GaultierLivre / 60 - Rhetorique / 202 (L'Heroique);
Conc_758;D.Gaultier;CLFDGa, N°85;;B-Bc5616 / 14v - A-KR79 / 94r - GB-Ob617 / 82 - F-Pn6214 / 67r - Rhetorique / 199 - D-ROu54 / 361;
Conc_759;D.Gaultier;CLFDGa, N°39;;B-Bc5616 / 30v - GaultierLivre / 32 - GB-Ob618 / 97;
Conc_760;V.Gaultier;CLFVGa, N°13;;B-Bc5616 / 37v - PL-Kj40626 / 43v - GaultierLivre / 16 - GB-Ob618 / 38 - Perrine1680 / 11 - GB-LANh / F2r;Contrepartie: Conc_3820
Conc_761;Gaultier;;;B-Bc5616 / 43v - F-Pn823 / 23v (Gigue anon) - D-ROu54 / 264 - D-SWl_641 / 149;
Conc_762;D.Gaultier;CLFDGa, N°33 - CLFDGa App.1;;B-Bc5616 / 47v - GaultierLivre / 20 - Perrine1680 / 26;
Conc_763;Gaultier or Ch.Mouton;CLFMou App, N°5;;B-Bc5616 / 56v - A-ETgoëssII / 87v - CZ-NlobKk80 / 30;
Conc_764;V.Gaultier;CLFVGa, N°9;;B-Bc5616 / 69v - F-B279152 / 214;
Conc_765;Emond;;;B-Br276 / 42v - F-B279152 / 25 - GB-Lbl1868 / 184 - F-PnVmb7 / 74 - F-PnVm7-370 / 42v - F-PnVmd15 / 28v - F-Pn6216 / 1v - D-Bsa4060 / 94v - A-GÖ2 / 7v;
Conc_766;Emond;;;B-Br276 / 43v - B-Br1037 / 6v - F-B279152 / 19 (1) - F-B279153 / 22 - D-Bsa4060 / 95v - A-GÖ2 / 90r - GB-Lbl1868 / 184 - F-Pn6212 / 30v - F-Pn6216 / 3r - PL-Lw1985 / 72v;
Conc_767;Emond;;;A-Wgm7763-92 / 39v - B-Br276 / 44v - B-Br1037 / 7v - F-B279152 / 19 (2) - A-GÖ2 / 8v - F-Pn6216 / 3v;
Conc_768;De Visée;LWV 43/27;;"A-ETgoëssTh / 59r - A-KlmVogl / 6v - F-Pn1106 / 17v (2, Th) - F-B279152 / 287  (3°; mis en tablature de théorbe par R. de Visée) - B-Br276 / 84r (B dur; baroque lute)";
Conc_769;D.Gaultier;CLFDGa, N°4;;A-ETgoëssTh / 78v - B-Br276 / 106v - GaultierPieces / 16 - A-ETgoëssV / 18v - F-Pn823 / 76v - CZ-NlobKk84 / 25v - D-Bsa4060 / 231v;1.H. conc, 2.H. diff: Conc_2242
Conc_770;D.Gaultier;CLFDGa, N°8;;B-Br276 / 111v - GaultierPieces / 30 - A-ETgoëssTh / 74v - GB-LblSloane2923 / 107v - F-Pn6211 / 9v - CZ-NlobKk84 / 32v - Rhetorique / 122;
Conc_771;E.G.Baron or S.L.Weiss;;;B-Br4087 / 01-2v - GB-Lbl1868 / 147 - CZ-POm / 10;
Conc_772;E.G.Baron or S.L.Weiss;;;B-Br4087 / 01-3v - GB-Lbl1868 / 146 (2);
Conc_773;E.G.Baron or S.L.Weiss;;;B-Br4087 / 01-4v - GB-Lbl1868 / 149 - D-ROu53-1A / 26v;
Conc_774;S.L.Weiss;WeissSW 44.9 (Sm 554);;B-Br4087 / 02-6r - F-PnThII / 11v;
Conc_775;;;;B-Br4087 / 08-1v - B-Br4087 / 09-5v;
Conc_776;;;;B-Br4087 / 08-1v - B-Br4087 / 09-6r;
Conc_777;;;;B-Br4087 / 08-2r - B-Br4087 / 09-6r;
Conc_778;;;;B-Br4087 / 08-2v - B-Br4087 / 09-6v;
Conc_779;;;;B-Br4087 / 08-3r - B-Br4087 / 09-6v;
Conc_780;;;;B-Br4087 / 08-3v - B-Br4087 / 09-6v;
Conc_781;;;;B-Br4087 / 08-4r - B-Br4087 / 09-7r;
Conc_782;Blohm;;;B-Br4089 / 13-1v (Galanterie F# Blohm) - D-LEmRos / 3 (1);
Conc_783;Blohm;;;B-Br4089 / 13-2r (Galanterie F# Blohm) - D-LEmRos / 3 (2);
Conc_784;Blohm;;;B-Br4089 / 13-2r (Galanterie F# Blohm) - D-LEmRos / 4 (2);
Conc_785;Blohm;;;B-Br4089 / 13-2v (Galanterie F# Blohm) - D-LEmRos / 5;
Conc_786;Blohm;;;B-Br4089 / 13-3r (Galanterie F# Blohm) - D-LEmRos / 4 (1);
Conc_787;Blohm;;;B-Br4089 / 13-3v (Galanterie F# Blohm) - D-LEmRos / 6 (2);
Conc_788;;;;B-Br4089 / 14-2v (strings part) - D-Mbs5362 / 53v (lute part);
Conc_789;S.L.Weiss;WeissSW 84* (Sm 577);;B-Bc15 / 13 (Courente) - D-KNu / 6v (Courente da Weiss) - D-LEmRos / 8 (2, Allegro);
Conc_790;;;;B-Bc15 / 14 - I-Ven / 474.3;
Conc_791;;;;B-Bc15 / 15 (Bourée) - D-LEmRos / 9;
Conc_792;;;;B-Bc15 / 16 (Sarabande) - D-LEmRos / 8 (1);
Conc_793;;;;B-Bc15 / 17 (Guigue) - D-LEmRos / 11 (2);
Conc_794;S.L.Weiss;WeissSW App 11 (Sm 578);;"RA-BAn / 86v - B-Bc15 / 18 (""Capriccio"") - D-KNu / 7v - I-Ven / 474.1 - PL-Wu2010 / 250 (""Rondeaux variante"")";
Conc_795;;;;B-Bc15 / 24 (Duetto) - D-ROu65-6 / e6 (p.51);Contrepartie: Conc_4216
Conc_796;Pichler;;;A-GÖ1 / 50v - RA-BAn / 87v - B-Bc15 / 30 - GB-Lbl1868 / 34 - D-ROu53-1A / 16r - D-ROu53-1B / Add-15r - I-Ven / 490.2 - PL-Wu2010 / 257 - D-ROu53-3 / a1r;Contrepartie: Conc_4191
Conc_797;Pichler;;;A-GÖ1 / 51r - RA-BAn / 88v - B-Bc15 / 32 - GB-Lbl1868 / 35 - D-Mbs5362 / 37v - D-ROu53-1A / 17v - D-ROu53-1B / Add-15v - I-Ven / 490.5 - D-ROu53-3 / a1v;Contrepartie: Conc_4192
Conc_798;Pichler;;;A-GÖ1 / 51v (1) - RA-BAn / 89v - B-Bc15 / 34 - I-Ven / 490.3;Contrepartie: Conc_4193
Conc_799;Pichler;;;A-GÖ1 / 51v (2) - RA-BAn / 90r - B-Bc15 / 36 - GB-Lbl1868 / 36 - I-Ven / 490.4;Contrepartie: Conc_4194
Conc_800;Pichler;;;A-GÖ1 / 52r - RA-BAn / 90v - B-Bc15 / 38 - GB-Lbl1868 / 33 - I-Ven / 491.1 (see also I-Ven / 502.3);Contrepartie: Conc_4197
Conc_801;;;;RA-BAn / 46v - CZ-PaRPI504 / *6r;
Conc_802;;;;RA-BAn / 47r - CZ-PaRPI504 / *8r - S-Klm21072 / 35v;
Conc_803;S.L.Weiss;WeissSW 13.4 (Sm 71) - WeissSW 93.3 (Sm 71) - App 7 (Sm 435) - WeissSW 3* (Sm 45);;"A-GÖ1 / 12r - RA-BAn / 47v - GB-LblAdd30387 / 39v - GB-LblAdd30387 / 58r - GB-LblAdd31698 / 33v (""Presto"") - RUS-Mcm / 6v (""Bure"") - CZ-PaRPI504 / 29v - D-ROu53-1A / 59v (""Bouré"") - F-Sim / 21r (""Capricio"") - I-Ven / 448.1 - PL-Wu2004 / 3r - PL-Wu2008 / 70 (Var of Sm 71) - PL-Wu2009 / 88";
Conc_804;S.L.Weiss;WeissSW 7* (Sm 81) - App 4 (early version?);;RA-BAn / 50v (var) - GB-LblAdd30387 / 65v;
Conc_805;Pichler;;Giesbert #60;RA-BAn / 53v - A-ETgoëssHue / 49v - B-Bc15 / 50 - US-NYp11 / 37r - D-ROu65-6 / d8 (p.38) - D-ROu65-6 / y1 (p.171, 1) - PL-Wu2003 / 37v - PL-Wu2010 / 89 - D-ROu53-3 / c1r - CZ-PnmVM412 / 1;
Conc_806;Pichler;;Giesbert #66;RA-BAn / 56v - A-ETgoëssHue / 51v - B-Bc15 / 52 - US-NYp11 / 38r - D-ROu65-6 / d11 (p.41) - D-ROu65-6 / y1 (p.171, 2) - F-Sim / 25v - PL-Wu2003 / 33r - PL-Wu2005 / 95 - PL-Wu2010 / 91 - D-ROu53-3 / c2r;
Conc_807;Pichler;;Giesbert #67;RA-BAn / 57v - A-ETgoëssHue / 53v - B-Bc15 / 55 - US-NYp11 / 38v - D-ROu65-6 / d12 (p.42) - F-Sim / 25r - PL-Wu2003 / 31v - PL-Wu2010 / 94 - D-ROu53-3 / c2v;
Conc_808;Pichler or S.L.Weiss;;;"RA-BAn / 59v (""Boure"") - A-ETgoëssHue / 78v - GB-Lbl1868 / 41 (""Capricio Pichler"") - GB-LblAdd30387 / 129r (""Comment Sçavez-Vous?"") - CZ-PaRPI504 / *5v - F-Sim / 26r - I-Ven / 454.4 (Ariette) - I-Ven / 508.5 (La Tournee) - PL-Wu2003 / 33v (2) - PL-Wu2010 / 88 (""Bourée"") - RISM1001043606 (cemb, Introduzzione)";
Conc_809;;;;RA-BAn / 62v - similar to CZ-PaRPI504 / *9v;
Conc_810;;;;RA-BAn / 73v - PL-Wu2010 / 29;
Conc_811;W(eichenberger?);;;RA-BAn / 74v - CZ-PaRPI504 / *16v;
Conc_812;;;;RA-BAn / 75r - CZ-PaRPI504 / *13v;
Conc_813;;;;RA-BAn / 80v - GB-Lbl1868 / 31 (2) - D-Mbs5362 / 62v;
Conc_814;;;;RA-BAn / 81r - GB-Lbl1868 / 31 (3) - D-Mbs5362 / 63r - PL-Wu2003 / 12r (2) - PL-Wu2005 / 119 (2) - PL-Wu2010 / 259;
Conc_815;;;;RA-BAn / 82v - PL-Wu2003 / 12r (1) - PL-Wu2005 / 119 - PL-Wu2011 / 63;
Conc_816;Lauffensteiner;;;RA-BAn / 83v - A-Su / XXXIV.3 - PL-Wu2003 / 32v - PL-Wu2005 / 80 - PL-Wu2005 / 94;
Conc_817;S.L.Weiss;WeissSW 18.3 (Sm 106) - WeissSW 92.12;;"RA-BAn / 91v - GB-LblAdd30387 / 85v - F-Sim / 18v (no title) - I-Ven / 519.5 - A-Wn1078 / 46v (""Paisanne"" au) - A-Wn18829 / 12v - PL-Wu2004 / 35v (""Paisana"")";
Conc_818;;;;RA-BAn / 93v - GB-Lbl1868 / 39 - A-KR84 / 22v - A-ETgoëssHue / 110r (Ariosa) - D-ROu45-1 / 4r - I-Ven / 456.1 - Mozart K33B (harpsichord);
Conc_819;;;;D-ROu45-1 / 4v - I-Ven / 507.1;
Conc_820;;;;D-ROu45-1 / 5v - I-Ven / 508.3;
Conc_821;;;;A-GÖ1 / 9v (1) - A-WIL1335 / 3-1r - RA-BAn / 96v - I-Ven / 471.1;
Conc_822;;;;A-GÖ1 / 9v (2) - A-WIL1335 / 3-1v - RA-BAn / 97v - I-Ven / 471.2;
Conc_823;;;;A-GÖ1 / 10r - A-WIL1335 / 3-2r - RA-BAn / 98v - I-Ven / 472.2;
Conc_824;;;;A-GÖ1 / 10v (1) - RA-BAn / 99r - I-Ven / 472.1;
Conc_825;;;;A-GÖ1 / 10v (2) - A-WIL1335 / 3-2v - RA-BAn / 99v - I-Ven / 472.3;
Conc_826;S.L.Weiss;WeissSW 90.6 - WeissSW 92.6;;"RA-BAn / 100v - I-Ven / 484.3 (""La Coquette"") - PL-Wu2003 / 35v (""Bouree"" in a non-Weiss suite) - PL-Wu2004 / 32v (""Allegro"" attributed to Weiss)";
Conc_827;;;;A-GÖ1 / 46v - RA-BAn / 103v - PL-Wu2003 / 10v (1) - PL-Wu2005 / 116 (1);
Conc_828;;;;A-GÖ1 / 47r - RA-BAn / 104v - PL-Wu2003 / 10v (2) - PL-Wu2005 / 116 (2);
Conc_829;S.L.Weiss?;;;A-GÖ1 / 48r - RA-BAn / 106v - I-Ven / 514.3 - PL-Wu2003 / 11v - PL-Wu2005 / 117;
Conc_830;S.L.Weiss;WeissSW 81.3 - WeissSW 88.10;;RA-BAn / 113v - CZ-PnmE36 / 262 - A-ROI / 50v (1);
Conc_831;;;;B-Gu3898-2 / 7v - GB-Lam614 / 37r - A-Wengel / 9 (7) - S-Klm21068 / 2r (2) - PL-LZu3779 / 7r - GB-LblAdd16889 / 101v (2) - F-Pn823 / 29v - GB-Ob578? - F-Pn6214 / 1r (2°) - F-B279153 / 5 - A-Wgm7763-92 / 12v - A-Wn1813 / 4r (3, violin) - SK-Le / 17;
Conc_832;Gaultier;;;GB-En9452 / 27v (A-d-g-a#-d'-f') - GB-En9449 / 10v (A-d-g-a#-d'-f') - US-CAh174 / 126 (A-d-f-a#-d'-f') - GB-Ob411 / 75r (A-d-g-a#-d'-f') - F-Pn1404 / 40r (A-d-g-a#-d'-f') - US-Rm186 / 22 - D-ROu54 / 141 - D-Mbs21646 / 77r (1) - S-O_Ms.s.c. / 6v;
Conc_833;R.Mesangeau;CLFMes, N°40;;D-KA1214 / 46(1) - GB-En9452 / 1 - A-KR81 / 43r - F-Pn1404 / 1v - F-PnVmd15 / 186v - GB-EnDep314 / 28r - GB-Lam603 / 33r (1) - CZ-PnmIVG18 / 179v;
Conc_834;Jacques Cordier;;;A-KR81 / 31r (1) - D-Kdma9825 / 4v - D-Mbs21646 / 20v (4) - D-Mbs21646 / 80v (3) - F-Pn1404 / 15v - F-Pn1404 / 16r - US-Rm186 / 37 - US-Rm186 / 48;
Conc_835;N. de Merville;;;A-KR81 / 39r (A-d-f#-b-d'-f') - F-Pn1404 / 16r (A-d-f#-b-d'-f') - D-ROu54 / 150 (1) - D-Mbs21646 / 22v (3, A-d-f#-b-d'-f') - cf. DK-Kkb376 / N°40 (kb) - EyckFL1646 / 22v (Willem Jansz Lossy (rec);
Conc_836;F.Dufault;CLFDuf, N°113;;GB-En9452 / 7v - GB-EnDep314 / 30r (1) - GB-CtcO162 / 113 (1) - F-Pn1404 / 17r;
Conc_837;;;;A-KR81 / 44v - F-Pn1404 / 18r - GB-Lam603 / 34 (1) - GB-CtcO162 / 113 (2) - GB-WMl-7 / 4v - US-Rm186 / 68 (2);
Conc_838;R. Mésangeau;CLFMes, N°38;;F-Pn1404 / 20r;
Conc_839;R. Mésangeau;CLFMes, N°39;;F-Pn1404 / 22v - F-Pn6211 / 26r;
Conc_840;R. Mésangeau;CLFMes, N°41;;F-Pn1404 / 23v;
Conc_841;R. Mésangeau;CLFMes, N°42;;GB-En9452 / 55 - F-Pn1404 / 24 - F-Pn6211 / 25v - D-Mbs21646 / 14v (1) - D-Mbs21646 / 15r (2);cf. F-Pn1111 / 67v (viola da gamba) - S-Uu284 / 128 (kb) - CLFMerII / 24 (similar theme)
Conc_842;;;;GB-En9449 / 6r - F-Pn1404 / 31v (1) - US-Rm186 / 26 - D-Mbs21646 / 20r (1);
Conc_843;Sperontes;;;F-Sim / 24r - Sperontes 1741 (nr.15);
Conc_844;;;;F-Pn1404 / 35r (2) - CZ-PnmIVG18 / 192v - D-Mbs21646 / 88v (3);
Conc_845;F.Dufault;CLFDuf, N°115;;GB-En9452 / 37v - GB-EnDep314 / 31r - F-Pn1404 / 41v - GB-ObE411 / 73v (2);see Mace / 130
Conc_846;R.Mesangeau;CLFMes, N°12 - CLFMes App, N°1 - CLFMes, N°12;;Ballard1631 / 15 - GB-En9452 / 37r - F-Pn1404 / 42r - D-Mbs21646 / 18v (1);cf. F-Pn89ter / 21v (kb) - F-PnVm7.674 / 39r (kb)
Conc_847;N. de Merville;;;US-Cn7Q5 / 73 - F-Pn1404 / 46r - D-Mbs21646 / 10r (2);
Conc_848;;;;F-Pn1404 / 46v - D-ROu54 / 183;
Conc_849;;;;US-Cn7Q5 / 143 - GB-En9452 / 28v - F-Pn1404 / 50 - D-Mbs21646 / 80v (4);
Conc_850;R.Mesangeau;CLFMes, N°7;;Ballard1631 / 10 (A-d-f#-bb dur-d'-f') - Ms de Geer / 45 - F-Pn1404 / 50v (A-d-f#-bb dur-d'-f') (#77) - D-ROu54 / 149 ( Allemande Mezang) - D-Mbs21646 / 77v (3);
Conc_851;R.Mesangeau;CLFMes, N°8;;Ballard1631 / 11 - F-Pn6211 / 27v - F-Pn1404 / 51r;
Conc_852;R.Mesangeau;CLFMes, N°9;;Ballard1631 / 12 - F-Pn1404 / 51v;
Conc_853;J.Gaultier (d'Angleterre);;;GB-Lam603 / 35v (2) - F-Pn1404 / 53r - D-Mbs21646 / 78r (2) - D-Mbs21646 / 78v (1);cf. GB-En9449 / 5v (kb) - D-Kb376 / 25v (kb)
Conc_854;E.Moulinié;RISM A/I 3944 / 42v;;CH-ZzQ907 / 11v - GB-En9452 / 14v - A-KR81 / 46v - D-Mbs21646 / 90r (3) - RogerON(6)1711 / 22 (2) RogerON(7)1711 / 1 (1);cf. Conc_5357
Conc_855;;RISM B/I 1661.4 / N°7;;GB-En9452 / 13v - GB-En9452 / 26r - GB-WMl-7 / 62r - RUS-SPanON124 / 80r - F-Pn1404 / 59v (2);
Conc_856;V.Gaultier;;;GB-En9452 / 46v - F-Pn1404 / 73 - GB-LANh / C4v - F-Pn1110 / 41v - GB-Mr / 60;
Conc_857;Losy;LosyC, N°2;;US-Danby / 3 - US-NYpMYO / 55v - D-Bsa4060 / 41v;
Conc_858;Losy?;;;US-Danby / 7 - PL-Wn396 / 268v - PL-Wu2008 / 17 - PL-Wu2009 / 19 - US-Wc18B / 15v;
Conc_859;Hinterleitner or Losy;;;US-Danby / 9 - Hinterleitner / 17 (last movement of Konzert) - A-KR83a / 41v;
Conc_860;;;;US-Danby / 21 - CZ-NlobKk76 / 53v (vl) - CZ-NlobKk76 / 65v (gt) - A-Wn18761 / 3;
Conc_861;Händel;;;D-B9050 (Almira) - US-Danby / 23;
Conc_862;;;;US-Danby / 33 - ViseePieces1686 / 18 - ViseePieces1686 / 54;
Conc_863;Händel;;;D-B9050 (Almira) / 82 Act III scene 4 (N°54) - US-Danby / 35;
Conc_864;Lully;LWV 71/62;;US-Danby / 37 - Lully Armide (Les plaisirs ont choisi);
Conc_865;Campra;;;Europe / 125 IIIa Entrée scene II - Country Dancing Master 1698 / 47 - US-Danby / 49 - Stockholm76 / 20v (kbd);
Conc_866;Losy;;;US-Danby / 61 - A-Wös120 / 52 - S-K4a / 23v (kbd) - PL-Wu2006 / 25r (Conc 15);
Conc_867;Losy;WeissSW 66.3 (Sm 398) - LosyV, N°23;;GB-Lbl1868 / 32 - A-Wn18761 / 14r - PL-Wu2006 / 25v;cf. Conc_5100
Conc_868;Losy;LosyC, N°3;;US-Danby / 64 - A-Wös120 / 55 - PL-Wu2006 / 26r;
Conc_869;Losy;LosyC, N°4;;US-Danby / 65 - S-K4a / 18v (kbd) - A-Wös120 / 56 - A-KR78 / 6v;
Conc_870;Losy;LosyC, N°5;;US-Danby / 66 - A-Kla5-37 / 23v - PL-Kj40620 / 30r;
Conc_871;Losy;;;US-Danby / 67 - S-K4a / 22v (kbd) - A-Wös120 / 54 - PL-Wu2006 / 26v;
Conc_872;Losy;;;US-Danby / 69 - S-K4a / 17v (kbd);
Conc_873;;;;CZ-Bm371 / 118 - US-Danby / 73;
Conc_874;A.Corelli;;;CZ-Bm13268 / 17v - Corelli Opus V,5/5 / 32 (Giga Allegro) - US-Danby / 77 - D-ROu53-1B / 13v;
Conc_875;Händel;;;US-Danby / 79 - US-Danby / 137 - LonRM18 / 4v - LonRM18 / 76v;
Conc_876;;;;US-Danby / 82 - A-GÖ2 / 99r - A-GÖ2 / 100v;
Conc_877;Losy;LosyC, N°23;;"CZ-Bm13268 / 26v - US-Danby / 91 - S-Klm21072 / 92v (Gigue du meme"" [i.e. Losy] - D-ROu52-2 / 92v - D-Bsa4060 / 209v";
Conc_878;Händel;;;D-B9050 (Almira) / 111 Act III Scene 15 - US-Danby / 93;
Conc_879;Losy;LosyV, N°10;Vogl, p. 17;US-Danby / 101 - S-Klm21072 / 90v - PL-Kj40620 / 51v (Partita de Monsieur Loggi);
